Assay.Type,Indiv.ID,Assay_Round,Activity
Predator,4_7.Az,2,0
Predator,4_7.Az,3,0
Foraging,4_7.Bz,1,21
Foraging,4_7.Bz,2,38
Foraging,4_7.Bz,3,18
Novel,4_7.Bz,1,20
Novel,4_7.Bz,2,27
Novel,4_7.Bz,3,12
Predator,4_7.Bz,1,0
Predator,4_7.Bz,2,0
Predator,4_7.Bz,3,7
Foraging,4_7.Cz,1,0
Foraging,4_7.Cz,2,0
Foraging,4_7.Cz,3,0
Novel,4_7.Cz,1,3
Novel,4_7.Cz,2,3
Novel,4_7.Cz,3,0
Predator,4_7.Cz,1,23
Predator,4_7.Cz,2,3
Predator,4_7.Cz,3,10
Foraging,4_7.Dz,1,0
Foraging,4_7.Dz,2,1
Foraging,4_7.Dz,3,1
Novel,4_7.Dz,1,0
Novel,4_7.Dz,2,0
Novel,4_7.Dz,3,0
Predator,4_7.Dz,1,11
Predator,4_7.Dz,2,12
Predator,4_7.Dz,3,0
Foraging,4_8.Az,1,1
Foraging,4_8.Az,2,0
Foraging,4_8.Az,3,0
Novel,4_8.Az,1,0
Novel,4_8.Az,2,0
Novel,4_8.Az,3,0
Predator,4_8.Az,1,18
Predator,4_8.Az,2,16
Predator,4_8.Az,3,0
Foraging,4_8.Bz,1,0
Foraging,4_8.Bz,2,18
Foraging,4_8.Bz,3,9
Novel,4_8.Bz,1,16
Novel,4_8.Bz,2,7
Novel,4_8.Bz,3,18
Predator,4_8.Bz,1,12
Predator,4_8.Bz,2,8
Predator,4_8.Bz,3,2
Foraging,4_8.Cz,1,2
Foraging,4_8.Cz,2,1
Foraging,4_8.Cz,3,0
Novel,4_8.Cz,1,0
Novel,4_8.Cz,2,0
Novel,4_8.Cz,3,0
Predator,4_8.Cz,1,18
Predator,4_8.Cz,2,13
Predator,4_8.Cz,3,21
Foraging,4_8.Dz,1,2
Foraging,4_8.Dz,2,0
Foraging,4_8.Dz,3,0
Novel,4_8.Dz,1,0
Novel,4_8.Dz,2,0
Novel,4_8.Dz,3,0
Predator,4_8.Dz,1,0
Predator,4_8.Dz,2,0
Predator,4_8.Dz,3,0
Foraging,5_10.Az,1,18
Foraging,5_10.Az,2,23
Foraging,5_10.Az,3,26
Novel,5_10.Az,1,27
Novel,5_10.Az,2,17
Novel,5_10.Az,3,21
Predator,5_10.Az,1,13
Predator,5_10.Az,2,17
Predator,5_10.Az,3,23
Foraging,5_10.Bz,1,8
Foraging,5_10.Bz,2,12
Foraging,5_10.Bz,3,10
Novel,5_10.Bz,1,0
Novel,5_10.Bz,2,5
Novel,5_10.Bz,3,0
Predator,5_10.Bz,1,0
Predator,5_10.Bz,2,0
Predator,5_10.Bz,3,0
Foraging,5_10.Cz,1,8
Foraging,5_10.Cz,2,19
Foraging,5_10.Cz,3,9
Novel,5_10.Cz,1,30
Novel,5_10.Cz,2,24
Novel,5_10.Cz,3,30
Predator,5_10.Cz,1,12
Predator,5_10.Cz,2,29
Predator,5_10.Cz,3,36
Foraging,5_3.Az,1,22
Foraging,5_3.Az,2,12
Foraging,5_3.Az,3,13
Novel,5_3.Az,1,17
Novel,5_3.Az,2,15
Novel,5_3.Az,3,16
Predator,5_3.Az,1,0
Predator,5_3.Az,2,1
Predator,5_3.Az,3,1
Foraging,5_3.Bz,1,12
Foraging,5_3.Bz,2,7
Foraging,5_3.Bz,3,17
Novel,5_3.Bz,1,22
Novel,5_3.Bz,2,11
Novel,5_3.Bz,3,19
Predator,5_3.Bz,1,17
Predator,5_3.Bz,2,16
Predator,5_3.Bz,3,2
Foraging,5_3.Cz,1,19
Foraging,5_3.Cz,2,20
Foraging,5_3.Cz,3,16
Novel,5_3.Cz,1,4
Novel,5_3.Cz,2,2
Novel,5_3.Cz,3,2
Predator,5_3.Cz,1,0
Predator,5_3.Cz,2,0
Predator,5_3.Cz,3,0
Foraging,5_3.Dz,1,0
Foraging,5_3.Dz,2,0
Foraging,5_3.Dz,3,0
Novel,5_3.Dz,1,6
Novel,5_3.Dz,2,8
Novel,5_3.Dz,3,4
Predator,5_3.Dz,1,3
Predator,5_3.Dz,2,7
Predator,5_3.Dz,3,6
Foraging,5_4.Az,1,53
Foraging,5_4.Az,2,15
Foraging,5_4.Az,3,0
Novel,5_4.Az,1,0
Novel,5_4.Az,2,0
Novel,5_4.Az,3,0
Predator,5_4.Az,1,0
Predator,5_4.Az,2,0
Predator,5_4.Az,3,0
Foraging,5_7.Az,1,0
Foraging,5_7.Az,2,0
Foraging,5_7.Az,3,0
Novel,5_7.Az,1,10
Novel,5_7.Az,2,16
Novel,5_7.Az,3,3
Predator,5_7.Az,1,4
Predator,5_7.Az,2,2
Predator,5_7.Az,3,13
Foraging,5_8.Az,1,37
Foraging,5_8.Az,2,36
Foraging,5_8.Az,3,22
Novel,5_8.Az,1,21
Novel,5_8.Az,2,35
Novel,5_8.Az,3,32
Predator,5_8.Az,1,40
Predator,5_8.Az,2,34
Predator,5_8.Az,3,28
Foraging,5_8.Bz,1,14
Foraging,5_8.Bz,2,32
Foraging,5_8.Bz,3,39
Novel,5_8.Bz,1,18
Novel,5_8.Bz,2,40
Novel,5_8.Bz,3,42
Predator,5_8.Bz,1,19
Predator,5_8.Bz,2,41
Predator,5_8.Bz,3,33
Foraging,5_8.Cz,1,1
Foraging,5_8.Cz,2,5
Foraging,5_8.Cz,3,11
Novel,5_8.Cz,1,3
Novel,5_8.Cz,2,0
Novel,5_8.Cz,3,0
Predator,5_8.Cz,1,0
Predator,5_8.Cz,2,0
Predator,5_8.Cz,3,0
Foraging,5_8.Dz,1,21
Foraging,5_8.Dz,2,0
Foraging,5_8.Dz,3,0
Novel,5_8.Dz,1,0
Novel,5_8.Dz,2,0
Novel,5_8.Dz,3,0
Predator,5_8.Dz,1,0
Predator,5_8.Dz,2,0
Predator,5_8.Dz,3,0
Foraging,5_8.Ez,1,1
Foraging,5_8.Ez,2,19
Foraging,5_8.Ez,3,9
Novel,5_8.Ez,1,38
Novel,5_8.Ez,2,7
Novel,5_8.Ez,3,5
Predator,5_8.Ez,1,5
Predator,5_8.Ez,2,6
Predator,5_8.Ez,3,0
Foraging,5_9.Az,1,9
Foraging,5_9.Az,2,12
Foraging,5_9.Az,3,5
Novel,5_9.Az,1,6
Novel,5_9.Az,2,0
Novel,5_9.Az,3,0
Predator,5_9.Az,1,15
Predator,5_9.Az,2,9
Predator,5_9.Az,3,0
Foraging,5_9.Bz,1,0
Foraging,5_9.Bz,2,0
Foraging,5_9.Bz,3,0
Novel,5_9.Bz,1,0
Novel,5_9.Bz,2,0
Novel,5_9.Bz,3,0
Predator,5_9.Bz,1,0
Predator,5_9.Bz,2,0
Predator,5_9.Bz,3,0
Foraging,5_9.Dz,1,6
Foraging,5_9.Dz,2,9
Foraging,5_9.Dz,3,15
Novel,5_9.Dz,1,14
Novel,5_9.Dz,2,13
Novel,5_9.Dz,3,5
Predator,5_9.Dz,1,3
Predator,5_9.Dz,2,0
Predator,5_9.Dz,3,1
