Indiv.ID,Survey_Round,Assay_Round,Assay_Type,Activity
BS_29,1,2,Foraging,5
BS_29,1,3,Foraging,24
BS_29,1,1,Novel,18
BS_29,1,2,Novel,22
BS_29,1,3,Novel,7
BS_29,1,1,Predator,2
BS_29,1,2,Predator,1
BS_29,1,3,Predator,0
BS_29,2,1,Foraging,0
BS_29,2,2,Foraging,0
BS_29,2,3,Foraging,5
BS_29,2,1,Novel,2
BS_29,2,2,Novel,0
BS_29,2,3,Novel,0
BS_29,2,1,Predator,0
BS_29,2,2,Predator,1
BS_29,2,3,Predator,0
BS_29,3,1,Foraging,0
BS_29,3,2,Foraging,0
BS_29,3,3,Foraging,0
BS_29,3,1,Novel,0
BS_29,3,2,Novel,3
BS_29,3,3,Novel,0
BS_29,3,1,Predator,10
BS_29,3,2,Predator,10
BS_29,3,3,Predator,3
BS_29,4,1,Foraging,11
BS_29,4,2,Foraging,5
BS_29,4,3,Foraging,10
BS_29,4,1,Novel,1
BS_29,4,2,Novel,0
BS_29,4,3,Novel,0
BS_29,4,1,Predator,14
BS_29,4,2,Predator,0
BS_29,4,3,Predator,21
BS_29,5,1,Foraging,5
BS_29,5,2,Foraging,35
BS_29,5,3,Foraging,27
BS_29,5,1,Novel,0
BS_29,5,2,Novel,5
BS_29,5,3,Novel,0
BS_29,5,1,Predator,6
BS_29,5,2,Predator,38
BS_29,5,3,Predator,28
BS_29,6,1,Foraging,0
BS_29,6,2,Foraging,11
BS_29,6,3,Foraging,8
BS_29,6,1,Novel,18
BS_29,6,2,Novel,2
BS_29,6,3,Novel,0
BS_29,6,1,Predator,9
BS_29,6,2,Predator,1
BS_29,6,3,Predator,0
BS_29,7,1,Foraging,0
BS_29,7,2,Foraging,6
BS_29,7,3,Foraging,2
BS_29,7,1,Novel,5
